gene_short_name,NIL_6h_FPKM,NIL_12h_FPKM,NIL_24h_FPKM
YER137C,50.3583,60.2576,45.0514
tI(AAU)E1,0,0,0
YER138C,0,0,0
RTR1,76.0286,94.5683,73.5845
MAG1,66.4482,48.5469,93.4695
UBP5,46.6919,32.5599,71.2797
FTR1,224.5,151.911,265.179
SCC4,29.5463,22.5864,42.9656
PEA2,64.9429,88.0698,50.4591
UBP3,87.5113,96.2424,87.7828
YER152C,62.0771,47.1572,86.1212
PET122,22.1254,7.45129,43.0685
BEM2,30.1422,29.7385,31.2522
YER156C,152.636,197.324,94.0506
tE(UUC)E3,0,0,0
YER158C,61.7941,27.6643,117.087
BUR6,424.742,429.027,475.774
tR(ACG)E,0,0,0
YER160C,0.398071,0.452702,0.369963
SPT2,123.306,148.482,113.589
RAD4,44.4576,32.2979,69.1569
GCG1,58.3673,46.9053,72.4997
CCA1,72.3983,88.0053,72.7982
BRR2,14.1766,11.3381,18.3721
GRX4,153.597,109.501,225.166
TMT1,1066.29,1790.28,657.129
ISC10,33.1423,27.9288,43.9584
SLO1,19.8389,18.7822,19.5051
tI(AAU)E2,0,0,0
FAU1,53.4826,64.8112,40.2549
TOG1,12.8756,11.2882,18.6519
YER186C,78.3445,38.2627,135.056
YER188C-A,7.91661,2.27574,14.8927
YER190C-B,0,0,0
YFL068W,0,0,0
YFL067W,50.3607,26.1048,79.1522
COS4,10.7642,9.31017,15.8832
DDI2,3.10173,1.55749,5.39993
SNZ3,13.4798,10.5187,18.8463
THI5,2.39588,2.77216,2.88039
AGP3,18.8615,4.78251,39.3548
DAK2,6.02517,1.83387,12.2417
ZNF1,10.3577,1.2727,23.3079
SWP82,54.3732,61.542,56.5173
RGD2,69.9208,103.146,45.9661
FMP32,230.586,271.491,249.671
YFL041W-A,6.24243,3.7515,10.7401
FET5,64.3386,56.6975,82.1984
YFL040W,5.95342,5.33751,7.29742
TUB2,223.69,236.265,175.757
RPO41,29.7389,19.386,42.0785
YFL034W,18.7513,18.3941,20.4658
HAC1,176.95,162.157,208.138
AGX1,539.83,54.4554,1254.76
STE2,559.704,945.984,173.857
BUD27,30.1582,26.6912,36.934
GAT1,121.616,128.977,139.922
SUF9,0,0,0
SMX2,262.169,340.476,229.045
HSP12,1719.96,581.444,3418.28
YFL012W,0.648776,0.775644,0.41093
HXT10,0.61591,1.00128,0.506398
AUA1,203.638,298.233,165.299
CDC4,90.03,107.409,91.0821
SMC1,25.5839,22.9608,31.749
BLM10,40.7299,17.8356,68.5048
SEC4,462.402,641.642,365.58
VTC2,88.4663,105.314,85.8255
YFL002W-A,0,0,0
DEG1,36.338,39.6175,30.2222
LOC1,228.472,314.476,163.48
NIC96,70.0789,91.0831,55.1867
RPN11,372.61,442.942,335.028
YFR006W,149.844,191.549,141.486
YFH7,36.8563,27.3587,50.3742
FAR7,52.7945,61.7897,56.9088
SUF20,0,0,0
GCN20,82.5183,107.673,60.3578
UBP6,235.938,286.645,228.675
SUP11,0,0,0
DCV1,6.52161,7.56561,6.74249
YFR012W-A,0,0,0
IOC3,53.7242,67.5176,45.9721
FAB1,16.245,13.2468,21.8907
YFR020W,217.024,219.612,264.635
ATG18,53.0679,68.5043,47.201
ROG3,22.1641,17.1472,32.6401
PES4,4.47569,7.39285,2.63227
ECO1,35.0583,45.9853,31.1412
PTR3,70.2641,56.0445,102.038
MET10,404.156,460.471,357.146
RUF23,10.3839,12.3014,12.1995
CDC26,54.6458,21.7362,92.3103
IRC5,60.3034,63.0271,67.6047
SAP155,52.0958,16.4364,94.4604
KEG1,75.444,79.2557,80.8919
YFR045W,50.8703,66.895,42.5633
RMD8,55.6621,73.4481,48.4866
YMR31,286.102,195.59,464.949
RPN12,348.788,405.627,340.54
IRC7,81.5654,148.806,30.6417
YFR057W,0.636021,1.03093,0.13518
YFL066C,3.2459,1.17785,4.352
YFL065C,0.504054,0.182337,0.88734
YFL064C,3.32265,1.6203,5.17115
SNO3,6.65954,6.15828,7.60218
AAD6,59.7525,32.0841,101.886
YFL054C,40.4462,10.3069,83.3697
YFL051C,10.7837,3.42332,21.4242
ALR2,18.9601,12.3073,29.2103
EMP47,99.3404,121.578,84.4861
SEC53,256.768,266.938,118.692
OTU1,95.6383,68.4875,126.521
LAM5,72.6882,54.1521,111.511
ACT1,940.964,874.322,881.908
YPT1,636.231,745.11,570.433
RUF21,0.264255,0.203167,0.330875
MOB2,78.7149,115.108,50.7462
RPL22B,117.467,74.3055,56.1297
RIM15,23.9983,31.3388,20.7405
CAK1,238.253,267.443,278.55
CAF16,223.96,247.792,252.474
GYP8,43.9992,47.7691,43.2791
BST1,43.6004,41.1252,55.4174
EPL1,39.5105,22.6931,63.7634
FRS2,126.508,144.113,69.1073
PAU5,21.2157,24.9148,23.8493
LPD1,618.817,470.309,917.829
GNA1,91.6713,98.8906,91.5349
MDJ1,211.814,131.628,328.199
IES1,79.9899,78.8908,94.693
WWM1,372.688,528.074,273.711
RUF20,13.2987,14.4634,15.4177
MSH4,5.87642,6.37781,6.36373
tN(GUU)F,0,0,0
SPB4,62.756,74.0518,56.1073
YPI1,187.091,242.449,153.796
SAD1,43.2595,62.6873,28.1723
tF(GAA)F,0,0,0
MIC19,303.293,136.248,525.009
CMK1,76.3813,65.7817,101.197
GSY1,25.8002,23.2444,34.8938
YFR016C,49.2112,59.0151,49.2401
tG(GCC)F2,0,0,0
IGD1,126.562,22.9194,275.014
YFR018C,69.2527,42.7067,109.438
tS(GCU)F,0,0,0
RUF22,0.0396276,0.0889333,0
LSB3,156.792,147.741,178.628
HIS2,266.557,348.8,243.467
tA(AGC)F,0,0,0
ULI1,32.972,27.7542,45.4683
CDC14,93.8842,118.382,76.1785
SUP6,0,0,0
SMC2,30.6862,30.6459,35.7155
RPL2A,633.282,491.554,267.924
RRT5,2.93779,0.51111,0.152475
RPL29,2330.62,2180.96,1034.29
YFR032C-B,4.10858,3.01613,6.13411
QCR6,1174.62,539.681,2030.47
PHO4,121.588,60.2412,205.934
YFR035C,90.2183,48.569,131.504
tK(CUU)F,0,0,0
RSC8,161.238,222.967,104.433
OSW7,55.4486,53.468,64.9048
ERJ5,84.3319,100.07,79.6512
IRC6,97.4615,123.881,89.0103
DUG1,222.249,287.079,193.735
CNN1,54.4576,58.6328,63.2908
BNA6,338.019,282.113,470.91
PRE4,485.238,576.164,449.515
RET2,117.009,141.598,99.3602
HXK1,176.039,37.4219,378.735
COS12,21.6677,25.0078,22.3326
YGL262W,11.5747,8.27846,15.2338
YGL260W,11.5149,8.5059,17.3201
YPS5,27.7414,8.52265,57.5513
YGL258W-A,35.1111,11.8706,69.2861
VEL1,6.58742,5.98223,9.38356
ADH4,56.4027,66.4403,52.4311
ZRT1,313.836,270.174,428.653
FZF1,75.6053,72.0787,97.7328
HXK2,314.378,299.326,103.892
RMR1,56.3848,59.76,65.8055
ZIP2,2.68654,3.12408,2.8503
PDE1,237.626,304.024,238.301
BRR6,46.4628,42.175,57.633
GUS1,280.638,347.57,237.014
RTF1,131.196,164.477,114.434
TAD1,41.729,46.5191,41.0919
KAP114,36.5898,43.6228,34.2661
DOC1,11.5725,12.5904,12.7565
CSE1,87.3407,106.433,73.893
YGL235W,35.5601,21.3563,49.888
ADE5%2C7,683.819,371.751,980.562
SEC15,34.4158,36.6704,38.6946
