gene_short_name,NIL_6h_FPKM,NIL_12h_FPKM,NIL_24h_FPKM
LYS1,1668.73,2229.85,1465.73
YIR035C,263.921,195.906,405.925
IRC24,56.4252,50.7802,72.1401
GTT1,132.746,152.108,139.941
FAA3,39.7396,45.2085,23.6059
URM1,198.421,207.529,188.307
YIA6,23.2887,26.6269,23.4585
EPS1,63.8425,68.1135,69.846
CFD1,246.155,346.175,206.906
YIL002W-A,221.46,280.147,106.293
YIL001W,31.197,27.7284,40.324
AIM21,64.0866,56.0749,82.2518
DJP1,105.211,126.734,91.7407
IST3,297.434,466.269,197.209
-,0,0,0
YIR007W,26.247,21.5889,36.4023
MSL1,88.333,141.983,53.5489
DSN1,35.0326,37.2033,36.0853
SQT1,124.054,158.094,71.7541
YIR014W,24.2883,10.6901,42.9166
RPR2,59.9527,36.4269,94.3529
YIR016W,33.2329,21.549,49.4561
YIR017W-A,1254.61,2484.78,376.366
YAP5,49.9101,59.2315,42.631
NAS2,90.7885,101.646,102.166
BET1,75.4461,88.0417,61.9279
INP51,36.636,27.941,49.7164
SGN1,105.372,108.866,111.601
MPH1,41.6994,31.8605,57.6249
PAN1,61.5768,57.4304,71.6631
PRI1,57.1045,85.3037,34.9611
STS1,133.525,170.454,116.935
GAT4,1.87574,1.4491,2.7027
MET28,2.77066,4.46832,0.541826
YIR018C-A,0,0,0
-,0,0,0
YNL035C,36.3708,32.6913,39.5583
-,0,0,0
-,0,0,0
YNL042W-B,8.16548,0.965031,17.8669
BOP3,30.4752,22.1886,40.9385
YNL040W,110.705,191.685,49.3333
BDP1,69.5354,65.7916,81.1195
GPI15,65.1017,70.2435,66.648
NCE103,5082.71,4011.38,7501.37
COG6,92.8856,130.854,77.2014
IDH1,570.312,172.058,1063.1
-,0,0,0
YNL337W,3.75251,2.87674,5.67367
YNL033W,18.2115,13.5885,27.6844
SIW14,68.6667,66.4695,75.1704
HHF2,1077.04,1165,667.466
YNL028W,8.4091,1.52021,17.9897
CRZ1,75.7811,84.0828,82.9935
SAM50,51.6821,33.2643,71.8705
NME1,19.4449,7.12658,34.3807
SNR66,102.692,0,285.57
HDA1,44.3845,46.3729,48.1695
HHT2,2435.54,3481.9,1434.79
KTR5,56.7164,19.8369,110.041
SSN8,49.4835,33.9371,75.154
KSH1,227.176,345.193,117.165
YNL024C,6.21985,5.08957,5.74252
FAP1,45.6029,42.9,53.9501
YNL022C,73.8112,79.5764,76.6105
ARK1,44.3656,48.3469,47.0687
JEN1,664.65,22.7563,1585.66
URA1,1734.85,3700.7,187.556
SAC1,51.7662,28.6634,49.7416
OXP1,27.5371,17.5898,41.5947
YRA2,78.6057,78.3938,77.3943
DOA1,89.5637,102.486,84.4338
SNR64,0,0,0
UBA1,249.654,194.399,337.355
CBT1,54.4049,66.21,50.5861
EMC3,306.335,387.339,277.08
LOS1,46.0312,64.9337,28.934
EAP1,81.6835,90.3121,84.4662
YKL202W,0.652118,0.280321,0.862655
-,0,0,0
MIA40,202.316,114.845,298.329
TRP3,714.248,1005.97,576.06
STE6,79.6218,114.347,47.6078
TRT2,88.5633,112.434,0
ADD66,97.3621,133.434,71.084
TOR2,16.1145,12.687,21.5924
MNN4,36.365,21.5818,56.4218
PTK1,32.8374,16.816,55.4676
PEX1,32.1733,28.8681,43.2597
YKT6,361.672,460.276,281.388
MST1,38.4193,28.9942,51.1729
YKL223W,0.0734842,0.146142,0
MCH2,10.6683,8.06271,16.4569
COS9,64.2513,79.3466,62.6024
YKL222C,34.4013,26.2133,48.3197
FRE2,11.2963,8.51629,15.7633
SRY1,729.931,1143.95,518.38
YKL225W,0,0,0
CTR2,118.342,105.525,126.148
YHR175W-A,22.2591,0,42.167
FMO1,25.2165,19.0779,32.2188
YHR177W,27.7294,30.6229,30.46
STB5,19.6488,14.1514,27.6198
OYE2,249.809,188.708,214.951
YHR180W,129.503,213.722,76.4938
RTN1,540.699,467.389,512.363
LYS4,422.348,516.718,350.259
PRP42,70.6286,86.827,68.0215
MRPL7,106.239,91.9494,124.39
BUD26,3.61765,4.40523,3.45619
SUP2,0,0,0
AMD2,81.6952,111.261,72.8792
PEX5,112.066,141.148,107.397
MNN10,165.056,220.588,106.148
TRS23,116.145,97.5438,153.459
YDR246W-A,10.6323,8.89977,13.5358
VHS1,17.4468,3.88744,31.387
PAM1,79.8254,62.201,112.096
BTT1,57.6512,61.68,60.2788
CHL4,33.9914,16.8589,55.0145
FMN1,110.573,141.013,100.43
SEC26,123.195,132.363,123.913
YDR239C,35.8276,33.9056,43.2724
SNU56,42.3073,49.6115,41.5885
PRP28,28.516,37.2616,24.389
YDR248C,71.9971,90.9753,57.4319
YDR249C,34.1038,41.6722,34.6086
YDR250C,6.14133,8.81189,5.00586
MET32,53.4682,43.966,54.8535
RMD5,44.4832,21.5233,79.2424
CTA1,127.051,12.8864,282.426
RKM4,96.0003,129.574,77.1237
HSP78,703.913,547.531,1097.39
YAP6,91.919,105.364,99.9778
SWM1,111.053,126.168,114.565
EXG2,48.5959,48.091,49.3935
-,0,0,0
BIO3,168.503,284.269,96.8616
MNT4,23.4941,12.9175,37.8087
FRE4,13.9802,12.8444,17.0809
YNR063W,8.78881,3.87578,15.4153
HOL1,65.1108,84.3585,51.5292
BIO5,94.7936,157.918,61.2302
BIO4,108.466,170.528,71.9033
YNR061C,135.56,175.326,121.493
YNR062C,11.4946,8.29099,15.1417
YNR064C,16.4444,11.2389,26.7141
YLR463C,216.094,119.36,361.318
SPA2,55.9484,60.7154,56.7707
YLL019W-A,30.7575,32.8633,59.0255
YLL017W,15.6071,9.43719,25.7029
SDC25,31.8295,23.6499,49.6735
BPT1,53.8786,29.4137,90.9214
EMC6,173.011,206.855,102.61
POM33,151.498,156.555,189.176
HIF1,57.3999,35.1243,87.5565
YLL020C,113.431,46.2555,206.752
KNS1,182.425,72.7232,350.033
COX19,72.7585,22.1353,143.039
DPS1,520.191,570.985,558.734
YLR455W,54.7413,59.3688,54.9065
YLR456W,78.0669,120.564,53.1564
YLR458W,76.3999,81.7583,89.4618
GAB1,126.397,160.49,112.87
-,0,0,0
NBP1,27.1339,29.7503,27.3725
BAT1,761.163,1115.74,241.175
CRG1,68.4621,102.186,50.0094
SET5,42.7591,44.6,43.4279
YHR210C,10.5666,13.3698,9.34662
RFC1,44.7822,46.7523,45.4351
RCN2,186.461,121.37,312.809
ODC2,285.992,233.583,310.47
YOR223W,59.496,59.1445,72.635
YOR225W,25.5459,21.6794,29.2648
HER1,61.7741,25.6983,114.714
WTM2,25.5708,22.0799,32.825
WTM1,583.511,480.413,827.38
MKK1,64.882,61.3746,79.8098
MGE1,254.159,292.049,209.972
KIN4,37.3936,33.0672,43.1677
IRC13,23.9897,10.4019,48.6662
SNR17A,100.691,91.3782,147.346
DFR1,126.238,166.15,103.437
HES1,3.90112,4.37612,4.1938
YOR238W,66.5874,86.2599,55.4146
ABP140,95.8294,115.125,75.9252
MET7,94.6996,125.196,71.7644
ESA1,96.3619,105.766,105.104
SRL1,556.967,694.558,308.78
YOR248W,6.44791,14.7662,1.77332
TMA16,75.5675,78.345,58.1147
NAT5,90.2809,97.8351,75.1451
OSW1,0.478635,0.942605,0.125783
CDC31,164.543,220.792,127.593
HNT3,31.6428,29.535,41.8709
GCD1,160.887,203.323,121.355
YOR262W,183.513,254.063,154.544
DSE3,58.5837,87.9676,28.4756
RBL2,436.651,722.642,207.766
PNT1,43.862,46.1642,44.0285
SAS5,115.83,88.9738,171.73
YOR214C,1.26522,1.59858,0.96615
AIM41,335.498,275.571,479.174
RUD3,80.6773,118.462,50.126
YOR218C,63.8998,59.7187,66.2196
STE13,31.7984,25.2882,44.355
MCT1,383.167,577.653,291.873
SNR35,24.4244,17.0514,29.3367
RPB8,323.707,465.68,99.8072
ISU2,95.4993,76.5985,90.0964
YOR228C,71.9544,54.8483,110.102
YOR231C-A,40.0208,34.0984,53.1852
RPL33B,903.151,919.606,335.441
SSP2,7.3571,8.05159,7.1774
PUS7,52.4339,56.6228,40.2395
DGA1,139.313,103.634,211.057
ENV9,107.529,128.232,90.8411
APC5,30.2827,28.575,36.0223
CLP1,35.1252,34.6098,38.4338
TUM1,81.6491,57.705,108.345
SEC63,133.72,172.961,95.0318
TRE2,60.9391,53.7004,79.5389
RPT4,366.584,462.482,275.84
RPN8,360.23,287.624,469.904
YOR263C,4.10958,4.05889,1.7993
COS10,18.6476,20.8581,17.3576
YNR066C,32.8501,58.1616,15.3029
DSE4,71.2275,96.8086,42.0119
BSC5,120.982,95.2947,186.351
EGT2,135.352,180.017,67.3842
YNL324W,9.8344,8.57903,11.0377
LEM3,46.0017,43.5084,49.0049
VNX1,48.0996,22.2864,79.7785
YNL320W,77.4474,98.6509,63.3974
YNL319W,0,0,0
PFS2,42.5828,45.3281,44.2417
DAL82,70.2425,64.0527,91.0046
RFA2,86.9438,83.2585,79.3485
STB1,45.2285,44.3114,53.7447
MRPS18,265.725,320.814,250.755
YPT11,29.0543,28.0299,33.5561
YNL303W,9.76922,7.74134,13.4348
AAD14,48.9121,40.5272,69.1103
RPD3,126.987,151.553,113.839
PEX6,37.6153,22.6019,57.574
MDJ2,12.8738,11.7339,15.9584
PFA3,71.2289,75.8426,76.6612
FIG4,13.3221,11.4969,16.2358
KRE1,240.186,204.348,314.528
HXT14,0.836448,1.41047,0.376038
PHA2,99.5783,144.159,70.0525
ATP11,80.3707,59.8156,96.2126
EMW1,109.91,173.287,59.9241
SKP2,193.916,281.499,164.966
ZIM17,137.357,127.427,172.279
KRI1,160.476,211.781,112.912
MCK1,240.222,301.073,195.769
BXI1,287.827,184.028,499.342
RPS19B,990.985,790.674,182.338
TOS6,394.588,590.793,233.266
TRF5,40.4767,42.146,40.1248
CLA4,93.6825,145.668,57.3212
YNL296W,8.13997,9.73406,7.45875
YNL295W,56.653,39.1283,86.0372
MSB3,59.2921,65.3907,67.7711
PUS4,51.5311,68.8492,31.5047
RFC3,112.901,152.045,75.7552
PCL1,69.0015,113.231,27.153
SNR40,63.9591,33.6947,76.0322
CAF40,159.305,212.804,120.624
SEC21,114.418,112.491,117.213
CUS2,41.1535,34.3598,52.7219
YNL285W,3.96046,3.84571,5.37839
RPL18B,262.077,186.24,141.713
MON2,27.7853,26.378,33.8009
RIM21,106.518,108.856,126.694
MID1,32.3824,25.0924,41.7582
SUF6,0,0,0
-,0,0,0
-,0,0,0
POP3,38.5144,59.8481,19.0526
HCH1,203.254,234.689,138.714
PRM1,29.1592,15.2891,50.682
CAF120,17.1549,13.6735,23.1149
YNL277W-A,16.1502,20.2692,14.3127
MET2,107.1,106.1,101.117
BOR1,38.0294,30.6378,51.3387
TOF1,15.863,14.6885,17.3121
BSC4,10.457,6.8167,18.3611
LYP1,256.683,191.091,345.831
PIK1,55.5656,47.8482,70.987
YNL266W,62.9794,158.024,0
POL2,12.6987,9.22257,16.9662
ORC5,55.5002,71.1527,45.0282
FOL1,51.5491,57.2014,37.9966
TEX1,62.8626,70.6948,62.4452
RAD50,18.6329,19.8155,20.9577
YNL247W,247.829,331.469,189.918
VPS75,96.9688,90.0118,103.656
SLA2,91.7786,70.999,123.449
ATG2,19.2609,17.806,25.387
LAP3,380.314,472.294,363.662
