Name,batchEntId,parentBoxPlateId,parentBoxPlateName,parentBoxPlatePos,volume,Concentration (ng/ul)
VIAL21293,seq_BCGEQ1FB,box_8AFyZMWE,l5,h2,100.0,30
VIAL21294,seq_yc89LkZN,box_8AFyZMWE,l5,h3,100.0,30
VIAL21295,seq_xZaPmPcy,box_8AFyZMWE,l5,h4,100.0,35
VIAL21296,seq_skLrOfig,box_8AFyZMWE,l5,h5,100.0,30
VIAL21297,seq_r0zYJJuX,box_8AFyZMWE,l5,h6,100.0,30
VIAL21298,seq_9F9knFhQ,box_8AFyZMWE,l5,h7,100.0,5
VIAL21299,seq_LmdjJCgg,box_8AFyZMWE,l5,h8,100.0,35
VIAL21300,seq_b39BssFT,box_8AFyZMWE,l5,h9,100.0,35
VIAL21301,seq_PNWfVCwo,box_8AFyZMWE,l5,i1,100.0,35
VIAL21302,seq_fRQCreqJ,box_8AFyZMWE,l5,i2,100.0,35
VIAL21303,seq_NGrzK0Z4,box_8AFyZMWE,l5,i3,100.0,10
VIAL21304,seq_BUWnSgNx,box_8AFyZMWE,l5,i4,100.0,35
VIAL21305,seq_sXTvfVhg,box_8AFyZMWE,l5,i5,100.0,35
VIAL21306,seq_BjylKbxY,box_8AFyZMWE,l5,i6,100.0,30
VIAL21123,seq_XyMsXAiH,box_8AFyZMWE,l5,i7,100.0,155
VIAL21129,seq_dIrA6KHb,box_8AFyZMWE,l5,i8,100.0,30
VIAL21130,seq_R4EEkcHF,box_8AFyZMWE,l5,i9,100.0,40
VIAL21469,seq_hhGreWwa,box_ASuXGEiz,o3,a1,100.0,10.0
VIAL21470,seq_ois2Wxv4,box_ASuXGEiz,o3,a2,100.0,10.0
VIAL21471,seq_Io474YQZ,box_ASuXGEiz,o3,a3,100.0,10.0
VIAL21472,seq_WFik2dny,box_ASuXGEiz,o3,a4,100.0,10.0
VIAL21473,seq_EzhrRHyU,box_ASuXGEiz,o3,a5,100.0,10.0
VIAL21474,seq_8owhCPV0,box_ASuXGEiz,o3,a6,100.0,10.0
VIAL21475,seq_2WqZ6RPk,box_ASuXGEiz,o3,a7,100.0,10.0
VIAL21476,seq_YNYkn8ea,box_ASuXGEiz,o3,a8,100.0,10.0
VIAL21477,seq_4MzlMQmZ,box_ASuXGEiz,o3,a9,100.0,10.0
VIAL21478,seq_2WtiGJpE,box_ASuXGEiz,o3,b1,100.0,10.0
VIAL21479,seq_D6QMlo6y,box_ASuXGEiz,o3,b2,100.0,10.0
VIAL21480,seq_AkBe1nPV,box_ASuXGEiz,o3,b3,100.0,10.0
VIAL21481,seq_6Z7slAHv,box_ASuXGEiz,o3,b4,100.0,10.0
VIAL21482,seq_YY9QGKOq,box_ASuXGEiz,o3,b5,100.0,10.0
VIAL21483,seq_TFH4KriF,box_ASuXGEiz,o3,b6,100.0,10.0
VIAL21484,seq_fKg1cYx8,box_ASuXGEiz,o3,b7,100.0,10.0
